id,type,parent_id,branch_level,translate_x,translate_y,translate_z,rotate_x,rotate_y,rotate_z,scale_x,scale_y,scale_z,color_r,color_g,color_b,color_a,geometry,hide,topo,ratio,texture_id,ch_input_id
159,5,0,0,-11.1758,-49.3903,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,173,34,255,24,0,0,0.1,0,159
160,5,0,0,-79.1391,-30.8643,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,104,34,255,24,0,0,0.1,0,160
161,5,0,0,-27.1264,-30.4414,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,113,34,255,24,0,0,0.1,0,161
162,5,0,0,-56.947,38.6715,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,194,34,255,24,0,0,0.1,0,162
163,5,0,0,15.1773,29.5354,2.0,0.0,0.0,0.0,1.0,1.0,1.0,122,229,34,255,24,0,0,0.1,0,163
164,5,0,0,-103.4116,64.98,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,215,34,255,24,0,0,0.1,0,164
165,5,0,0,11.7098,-60.0491,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,116,34,255,24,0,0,0.1,0,165
166,5,0,0,-25.7394,59.1431,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,151,34,255,24,0,0,0.1,0,166
167,5,0,0,-124.9102,-22.2358,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,218,34,255,24,0,0,0.1,0,167
168,5,0,0,-180.0,180.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,209,34,255,24,0,0,0.1,0,168
169,5,0,0,-16.7238,-2.9485,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,82,34,255,24,0,0,0.1,0,169
170,5,0,0,-101.3311,40.8709,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,143,34,255,24,0,0,0.1,0,170
171,5,0,0,-81.9131,23.8676,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,102,34,255,24,0,0,0.1,0,171
172,5,0,0,-148.4893,61.4271,2.0,0.0,0.0,0.0,1.0,1.0,1.0,207,229,34,255,24,0,0,0.1,0,172
173,5,0,0,-101.3311,40.8709,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,121,34,255,24,0,0,0.1,0,173
174,5,0,0,-180.0,180.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,95,34,255,24,0,0,0.1,0,174
175,5,0,0,-53.4795,35.8799,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,129,34,255,24,0,0,0.1,0,175
176,5,0,0,2.6943,-47.2755,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,111,34,255,24,0,0,0.1,0,176
177,5,0,0,22.8058,35.6261,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,174,34,255,24,0,0,0.1,0,177
178,5,0,0,-39.6094,-4.8096,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,82,34,255,24,0,0,0.1,0,178
179,5,0,0,-30.5939,126.0565,2.0,0.0,0.0,0.0,1.0,1.0,1.0,176,229,34,255,24,0,0,0.1,0,179
180,5,0,0,-59.721,123.7724,2.0,0.0,0.0,0.0,1.0,1.0,1.0,219,229,34,255,24,0,0,0.1,0,180
181,5,0,0,4.0813,-72.9073,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,186,34,255,24,0,0,0.1,0,181
182,5,0,0,-56.947,142.1292,2.0,0.0,0.0,0.0,1.0,1.0,1.0,194,229,34,255,24,0,0,0.1,0,182
183,5,0,0,-68.7365,131.4704,2.0,0.0,0.0,0.0,1.0,1.0,1.0,210,229,34,255,24,0,0,0.1,0,183
184,5,0,0,-65.9625,140.1836,2.0,0.0,0.0,0.0,1.0,1.0,1.0,192,229,34,255,24,0,0,0.1,0,184
185,5,0,0,-29.9004,58.8893,2.0,0.0,0.0,0.0,1.0,1.0,1.0,159,229,34,255,24,0,0,0.1,0,185
186,5,0,0,-49.3184,128.5943,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,218,34,255,24,0,0,0.1,0,186
187,5,0,0,-36.1419,48.9919,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,188,34,255,24,0,0,0.1,0,187
188,5,0,0,-37.5289,39.602,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,167,34,255,24,0,0,0.1,0,188
189,5,0,0,-106.1857,78.1766,2.0,0.0,0.0,0.0,1.0,1.0,1.0,224,229,34,255,24,0,0,0.1,0,189
190,5,0,0,0.6137,39.179,2.0,0.0,0.0,0.0,1.0,1.0,1.0,159,229,34,255,24,0,0,0.1,0,190
191,5,0,0,-49.3184,123.7724,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,176,34,255,24,0,0,0.1,0,191
192,5,0,0,-115.8947,87.6511,2.0,0.0,0.0,0.0,1.0,1.0,1.0,188,229,34,255,24,0,0,0.1,0,192
