id,type,parent_id,branch_level,translate_x,translate_y,translate_z,rotate_x,rotate_y,rotate_z,scale_x,scale_y,scale_z,color_r,color_g,color_b,color_a,geometry,hide,topo,ratio,ch_input_id
3260,5,3215,2,27.693,0.0,4.6022,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3261,5,3215,2,28.3223,0.0,3.2643,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3262,5,3215,2,28.9517,0.0,1.441,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3263,5,3215,2,29.5811,0.0,0.3537,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3264,5,3215,2,30.2105,0.0,0.4906,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3265,5,3215,2,30.8399,0.0,0.6131,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3425,5,3205,1,0.0,0.0,0.0864,0.0,0.0,0.0,1.0,1.0,1.0,255,255,255,255,11,0,0,0.1,72
3266,5,3205,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,255,165,38,255,22,0,16,0.4,0
3267,5,3266,2,55.0,0.0,6.1446,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3268,5,3266,2,55.6294,0.0,6.1446,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3269,5,3266,2,56.2588,0.0,6.1446,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3270,5,3266,2,56.8882,0.0,6.506,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3271,5,3266,2,57.5175,0.0,6.506,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3272,5,3266,2,58.1469,0.0,6.506,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3273,5,3266,2,58.7763,0.0,6.506,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3274,5,3266,2,59.4057,0.0,6.506,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3275,5,3266,2,60.0351,0.0,6.506,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3276,5,3266,2,60.6645,0.0,20.9639,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3277,5,3266,2,61.2939,0.0,21.6867,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3278,5,3266,2,61.9232,0.0,15.7618,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3279,5,3266,2,62.5526,0.0,18.4337,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
3280,5,3266,2,63.182,0.0,21.3628,0.0,0.0,0.0,0.6,0.6,0.6,255,165,38,255,22,0,0,0.04,0
